Sample_ID,Ct_Undigested_DNA-AHRR,Ct_Digested_HpaII-AHRR,Ct_Digested_MspI-AHRR,ePCR-AHRR,%5mc-AHRR,Ct_Undigested_DNA-PRSS23,Ct_Digested_HpaII-PRSS23,Ct_Digested_MspI-PRSS23,ePCR-PRSS23,%5mc-PRSS23
NS35,20.65,20.82,25.29,96.15,100,21.14,22.43,26.72,99.5,2.61339936
NS36,21.13,20.85,26.21,96.15,100,21.08,22.35,26.88,99.5,2.865821269
NS37,19.87,20.68,26.83,96.15,24.55677483,19.9,21.95,26.5,99.5,0.078624804
NS38,19.62,20.41,26.1,96.15,26.91040191,Und.,20.44,26.24,99.5,NA
NS39,19.2,19.74,25.64,96.15,84.48524841,18.4,19.72,24.83,99.5,2.275835138
NS40,20.01,20.23,25.6,96.15,100,17.72,19.77,24.98,99.5,0.078624804
NS41,19.13,19.74,24.92,96.15,61.32815351,17.78,19.6,24.18,99.5,0.22701668
NS42,18.89,20.18,26.26,96.15,2.730227154,18.32,20.13,25.24,99.5,0.237727503
NS43,19.95,21.35,26.6,95.08,1.676153576,17.89,18.99,25.37,99.5,6.275052043
NS44,19.24,19.96,25.96,96.15,37.07158719,18.79,19.95,23.79,94.65,5.039708644
NS45,20.04,19.76,25.94,76.71,100,19.77,21.37,26.29,96.45,0.657580688
NS46,19.54,19.61,26.18,76.71,100,19.61,21.38,25.94,96.45,0.301895151
NS47,18.76,20.18,25.97,76.71,2.067867889,18.93,20.6,26.69,96.45,0.477237236
NS48,19.46,19.36,25.11,76.71,100,18.9,20.83,26.48,96.45,0.145094531
NS49,19.26,19.94,25.2,76.71,51.81741002,19.61,20.94,26.06,96.45,2.264227956
NS50,20.08,21.34,26.23,91.31,3.340308462,19.88,21.32,25.71,94.65,1.405444295
NS51,20.59,22.55,21.59,96.91,NA,19.07,29.8,29.43,96.91,0
NS52,20.2,20.23,21.03,96.91,NA,21.65,30.44,31.28,96.91,3.16687E-15
NS53,20.26,20.79,25.73,91.31,90.86950494,20,20.74,25.57,94.65,34.22103331
NS54,19.41,19.57,26.7,76.71,100,19.7,20.02,26.5,96.45,100
NS55,18.48,19.31,25.98,76.71,26.97144196,18.54,21.05,25.85,96.45,0.01018961
NS56,20.08,19.93,21.51,76.71,NA,18.92,31.9,32.31,96.91,0
NS57,20.61,21.72,21.89,95.08,NA,19.35,21.44,26,92.59,0.075880547
NS58,21.13,20.87,27.67,99.46,100,21.05,23.37,29.17,101.01,0.021875038
NS59,19.91,21.14,26.75,93.32,3.725952686,19.07,20.88,24.12,92.59,0.27044235
NS60,19.82,21.13,27.1,93.32,2.589816732,19.92,20.78,26.85,92.59,20.17170812
NS61,20.19,20.12,25.65,93.32,100,19.41,20.68,25.59,92.59,3.137173963
NS62,21.22,20.68,25.91,99.46,100,20.97,29.4,26.62,101.01,0
NS63,20.4,19.97,26.2,99.46,100,20.07,21.79,26.51,101.01,0.350860497
NS64,20.55,20.7,36.98,93.32,100,19.61,21.29,26.61,92.59,0.487904168
NS65,18.32,20.52,25.11,93.32,0.045276376,19.88,22.22,27.42,92.59,0.024396251
NS66,20.4,20.32,26.23,95.08,100,20.52,21.79,25.99,92.59,3.137173963
NS67,21.37,21.53,26.95,99.46,100,21.99,24.86,27.62,101.01,0.001718681
NS68,19,19.78,25.98,93.32,28.82763683,19.46,20.76,26.95,92.59,2.737799996
NS69,20.18,20.3,25.67,95.08,100,20.16,21.88,27.44,101.01,0.350860497
NS70,19.13,19.96,29.99,93.32,22.96565586,19.82,21.31,25.88,92.59,1.155761234
NS71,19.96,20.62,27.1,93.32,49.74638163,19.92,21.64,26.77,92.59,0.406897808
NS72,21.87,20.23,26.22,99.46,NA,20.43,21.77,26.29,101.01,2.034317421
NS73,19.93,20.25,27.63,98.68,100,19,24.14,28.63,100.68,4.81736E-08
NS74,21.19,21.78,26.69,95.08,67.64668723,19.53,Und.,26.88,100.68,NA
NS75,20.41,19.39,26.71,99.46,100,19.2,21.76,27.53,101.01,0.007208992
NS76,19.22,19.89,22.24,99.46,NA,19.56,21.67,26.91,101.01,0.057778173
NS77,21.37,21.85,28.38,99.46,100,22.27,24.22,29.18,101.01,0.121100697
NS78,19.74,20.05,27.35,99.46,100,20.21,22.79,27.33,101.01,0.006572063
NS79,20.43,20.45,29.42,99.46,100,19.78,22.19,Und.,101.01,NA
NS80,19.65,19.69,26.59,98.68,100,18.89,21.15,27.51,100.68,0.029083568
NS81,20.22,21.56,26.63,99.46,2.076486668,20.15,23.03,26.51,101.01,0.001641001
NS82,20.37,21.85,27.17,98.68,1.101691799,20.18,21.76,27.75,100.68,0.673857165
NS83,19.94,20.75,27.82,99.46,23.89931917,19.99,21.95,27.9,101.01,0.115627255
NS84,19.79,20.47,24.56,99.46,43.51556651,20.61,22.14,24.67,101.01,NA
NS85,18.74,19.91,26.07,99.46,4.546403597,19.71,21.44,25.91,101.01,0.335002499
NS86,19.6,19.67,25.06,99.46,100,21.81,21.52,25.65,101.01,NA
NS87,20.13,20.67,24.93,99.46,82.97049596,20.69,22.96,25.1,101.01,NA
NS88,19.99,20.48,27.21,99.46,100,20.7,22.31,27.08,101.01,0.583559544
NS89,19.52,19.73,26.71,99.46,100,19.75,21.81,26.24,101.01,0.072810823
NS90,19.67,20.19,27.74,99.46,90.98369067,20.74,22.87,27.98,101.01,0.052673351
NS91,19.36,19.55,26.61,99.46,100,19.98,21.98,25.66,101.01,0.096098034
NS92,19.57,19.49,26.51,99.46,100,19.61,22,26.43,101.01,0.015825004
NS93,19.04,19.5,27.75,99.46,100,19.87,21.74,25.47,101.01,0.175322664
NS94,18.49,19.53,26.51,99.46,8.278031968,19.55,21.67,24.89,101.01,0.055166747
NS95,19.47,19.72,25.96,99.46,100,19.29,22.2,25.59,101.01,0.001428399
NS96,19.45,20.81,27.22,98.68,1.913784708,18.62,20.14,25.22,92.59,1.008628511
NS97,20.96,20.62,27.59,101.26,100,17.85,20.85,24.81,104.5,0.000851614
NS98,19.47,19.53,26.3,98.68,100,19.92,20.99,26.42,100.68,7.116361064
NS99,21.59,21.82,28.57,101.26,100,20.22,20.91,24.48,104.5,NA
NS100,20.32,29.15,Und.,99.46,NA,19.79,22.47,24.73,101.01,0.004138447
NS101,22.53,21.77,27.23,101.26,100,20.7,21.18,23.14,104.5,NA
NS102,21.76,22,29.13,101.26,100,20.26,21.47,25.79,104.5,3.563399575
NS103,21.99,21.9,27.01,101.26,100,20.53,Und.,22.86,104.5,NA
NS104,21.56,31.67,29.23,101.26,0,20.06,21,24.21,104.5,NA
NS105,22.03,21.2,28.27,101.26,100,20.07,21.46,25.26,104.5,1.540561645
NS106,21.38,20.94,27.07,101.26,100,20.33,20.99,22.68,104.5,NA
NS107,21.38,21.18,27.34,101.26,100,19.98,20.73,23.46,104.5,NA
NS108,21.36,20.82,27.98,101.26,100,19.34,20.48,25.4,104.5,4.937330461
NS109,23.52,21.71,24.84,101.26,NA,19.96,22.16,24.71,104.5,0.035387069
NS110,20.99,21.11,25.84,95.08,100,20.06,23.99,23.7,104.5,NA
NS111,21.94,22.08,28.35,101.26,100,19.95,21.51,24.5,104.5,0.697792284
NS112,21.88,20.96,27.26,101.26,100,19.25,20.8,23.82,104.5,0.731069537
NS113,28.63,21.42,28.56,101.26,NA,17.8,19.91,25.58,104.5,0.053819209
NS114,19.51,20.61,27.76,101.26,6.156354684,20.12,28.1,26.1,104.5,0
